% The NRC Affect Intensity Lexicon v0.5
% www.saifmohammad.com/WebPages/AffectIntensity.htm
% Contact: Saif M. Mohammad (saif.mohammad@nrc-cnrc.gc.ca)
%
% The NRC Affect Intensity Lexicon is a list of English words and their
% associations with four basic emotions (anger, fear, sadness, joy). 
%
% Words can be associated with different intensities (or degrees) of an emotion.
% For example, most people will agree that the word condemn is associated with a
% greater degree of anger (or more anger) than the word irritate. However,
% annotating instances for fine-grained degrees of affect is a substantially more
% difficult undertaking than categorical annotation: respondents are presented
% with greater cognitive load and it is particularly hard to ensure consistency
% (both across responses by different annotators and within the responses produced
% by the same annotator). Here, for the first time, we create an affect intensity
% lexicon with real-valued scores of association using best--worst scaling.
% 
% For a given word and emotion X, the scores range from 0 to 1. A score of 1 means
% that the word conveys the highest amount of emotion X.  A score of 0 means that
% the word conveys the lowest amount of emotion X.
% 
% Details of the lexicon are in this paper.
% Word Affect Intensities. Saif M. Mohammad. arXiv preprint arXiv, April 2017.
%
% The lexicon has close to 6,000 entries for four basic emotions: anger, fear,
% joy, and sadness. (We will soon be adding entries for four more emotions: trust,
% disgust, anticipation, and surprise. We will also be adding entries for valence,
% arousal, and dominance.)	It includes common English terms as well as terms
% that are more prominent in social media platforms, such as Twitter. It includes
% terms that are associated with emotions to various degrees. For a given emotion,
% this even includes some terms that may not predominantly convey that emotion (or
% that convey an antonymous emotion), and yet tend to co-occur with terms that do.
% (Antonymous terms tend to co-occur with each other more often than chance, and
% are particularly problematic when one uses automatic co-occurrence-based
% statistical methods to capture word--emotion connotations.)



@relation 'The NRC Affect Intensity Lexicon v0.5. More info at:www.saifmohammad.com/WebPages/AffectIntensity.htm'

@attribute term string
@attribute anger_Score numeric
@attribute fear_Score numeric
@attribute sadness_Score numeric
@attribute joy_Score numeric

@data
grievance,0.556,?,0.53,?
grieve,?,0.375,0.844,?
grieving,?,?,0.922,?
grievous,0.632,0.516,0.704,?
grim,0.413,0.672,0.708,?
grin,?,?,?,0.672
grisly,?,0.703,?,?
grizzly,?,0.578,?,?
groan,?,?,0.545,?
grope,0.576,0.453,?,?
grouchy,0.562,?,?,?
grounded,?,0.242,0.13,?
grow,?,?,?,0.242
growl,0.652,0.516,?,?
growling,0.75,0.547,?,?
growls,0.649,?,?,?
growth,?,?,?,0.297
growthefuckup,0.788,?,?,?
grr,0.641,?,?,?
grrr,0.516,?,?,?
grrrrr,0.391,?,?,?
grudge,0.656,?,?,?
gruff,0.351,?,?,?
grumble,0.544,?,?,?
grump,0.515,?,?,?
grumpy,0.328,?,0.281,?
guard,?,0.25,?,?
guerilla,?,0.688,?,?
guidelines,?,0.062,?,?
guillotine,0.591,0.859,0.446,?
guilt,?,?,0.75,?
guilty,0.591,?,0.609,?
gullible,?,?,0.25,?
gulp,?,0.391,?,?
gun,0.576,0.734,?,?
gunmen,?,0.828,?,?
gunpowder,?,0.562,?,?
gush,?,?,?,0.545
hadenough,0.546,?,?,?
hag,?,0.25,?,?
haggard,?,?,0.587,?
hallelujah,?,?,?,0.859
hallucination,?,0.484,?,?
halter,0.242,0.318,0.188,?
halting,?,0.435,0.297,?
hammering,0.5,?,?,?
hammock,?,?,?,0.394
hamstring,0.167,?,0.312,?
handicap,?,?,0.422,?
hanging,0.636,0.641,0.547,?
hangman,?,0.61,?,?
hangry,0.515,?,?,?
happier,?,?,?,0.797
happiest,?,?,?,0.986
happily,?,?,?,0.922
happiness,?,?,?,0.984
happy,?,?,?,0.788
happydance,?,?,?,0.912
happyday,?,?,?,0.809
happyheart,?,?,?,0.818
happyholidays,?,?,?,0.75
happynewyear,?,?,?,0.656
happyplace,?,?,?,0.875
happytweet,?,?,?,0.797
happyvalentinesday,?,?,?,0.773
harass,0.659,?,?,?
harassing,0.625,?,?,?
harbinger,0.426,0.531,?,?
hardened,0.348,0.391,?,?
hardship,?,?,0.685,0.031
hardy,?,?,?,0.25
harm,?,0.719,?,?
harmful,0.672,0.797,0.578,?
harmoniously,?,?,?,0.641
harmony,?,?,?,0.719
harrowing,?,0.703,?,?
harry,0.212,?,0.109,?
harshness,0.597,0.516,?,?
harvest,?,?,?,0.297
hassle,0.53,?,?,?
hate,0.828,0.484,0.656,?
hateeee,0.779,?,?,?
hateeveryone,0.667,?,?,?
hateful,0.94,0.578,0.575,?
hateyou,0.818,?,?,?
hating,0.828,?,?,?
hatred,0.953,0.703,0.641,?
haughty,0.456,?,?,?
haunt,?,0.641,?,?
haunted,?,0.578,0.422,?
havoc,0.641,0.719,?,?
hawk,?,0.125,?,?
haye,0.324,?,?,?
hazard,?,0.75,?,?
hazardous,?,0.766,?,?
haze,?,0.594,?,?
headaches,?,0.359,?,?
heal,?,?,?,0.406
healing,?,?,0.234,0.328
health,?,?,?,0.493
healthful,?,?,?,0.424
healthy,?,?,?,0.5
hearing,?,0.156,?,?
hearse,?,0.484,0.703,?
heart,?,?,?,0.547
heartache,?,?,0.812,?
heartattack,?,0.812,?,?
heartbreak,?,?,0.781,?
heartbreaking,?,?,0.969,?
heartfelt,?,?,0.188,0.719
heartily,?,?,?,0.469
heartless,?,?,0.719,?
hearts,?,?,?,0.625
heated,0.545,?,?,?
heathen,?,0.422,?,?
heaven,?,?,?,0.721
heavenly,?,?,?,0.853
heavens,?,?,?,0.779
hedonism,?,?,?,0.344
hee,?,?,?,0.455
heft,?,0.219,?,?
heheh,?,?,?,0.606
heighten,?,0.188,?,?
hell,0.853,0.86,0.7,?
hellish,0.781,0.828,0.738,?
helmet,?,0.094,?,?
help,?,0.203,?,?
helpful,?,?,?,0.422
helpless,?,0.531,0.594,?
helplessness,?,0.516,0.828,?
hemorrhage,?,0.807,0.75,?
hermit,?,?,0.296,?
hero,?,?,?,0.562
heroic,?,?,?,0.591
heroism,?,?,?,0.576
hesitation,?,0.344,?,?
heyday,?,?,?,0.484
hide,?,0.297,?,?
hideous,?,0.641,0.516,?
hiding,?,0.524,?,?
highest,?,0.236,?,0.591
hiking,?,?,?,0.283
hilarious,?,?,?,0.672
hilarity,?,?,?,0.606
hindering,?,?,0.359,?
hippie,?,?,?,0.288
hire,?,?,?,0.203
hiss,0.328,0.344,?,?
hit,0.667,?,?,?
hives,?,0.328,?,?
hoary,?,?,0.203,?
hoax,0.297,?,0.406,?
hobby,?,?,?,0.328
hobo,?,?,0.323,?
hohoho,?,?,?,0.845
holiday,?,?,?,0.712
holidays,?,?,?,0.721
holidayseason,?,?,?,0.688
holiness,?,0.109,?,0.531
hollow,?,?,0.234,?
holocaust,0.712,0.906,0.953,?
holyspirit,?,?,?,0.5
home,?,?,?,0.559
homeless,0.288,0.609,0.734,?
homesick,?,?,0.531,?
homesweethome,?,?,?,0.826
homework,?,0.109,?,?
homicidal,0.906,0.959,?,?
homicide,0.803,0.859,0.844,?
honest,0.087,0.047,0.062,0.303
honeymoon,?,?,?,0.636
honk,0.133,?,?,?
honored,?,?,?,0.688
hood,0.071,0.266,?,?
hooded,?,0.266,?,?
hooray,?,?,?,0.859
hoot,0.287,?,?,?
hope,?,?,?,0.586
hopeful,?,?,?,0.559
hopeless,?,0.688,0.688,?
hopelessness,0.149,0.531,0.844,?
hormonal,0.172,?,?,?
horrible,0.742,0.734,?,?
horrid,0.833,0.705,0.734,?
horrific,0.773,0.969,0.844,?
horrified,?,0.922,?,?
horrifying,?,0.906,0.907,?
horror,0.75,0.923,0.719,?
horrors,?,0.906,0.828,?
horseshit,0.719,?,?,?
hospice,?,?,0.688,?
hospital,?,0.484,0.484,?
hostage,0.47,0.734,?,?
hostile,0.898,0.688,?,?
hostilities,0.837,0.586,?,?
hostility,0.859,?,?,?
hot,0.529,?,?,?
hotyoga,?,?,?,0.347
howl,0.394,0.453,0.5,?
huff,0.469,?,?,?
hug,?,?,0.078,0.672
hugs,?,?,?,0.562
hulk,0.329,?,?,?
humanitarian,?,?,?,0.469
humanity,?,?,?,0.391
humanrights,?,0.172,?,?
humble,?,?,0.078,0.344
humbled,?,?,0.273,0.234
humbug,0.266,?,0.25,?
humiliate,0.545,?,0.703,?
humiliation,?,?,0.578,?
humility,?,?,?,0.266
humor,?,?,?,0.656
humorous,?,?,?,0.562
hunger,0.235,?,?,?
hunter,?,0.562,0.359,?
hunting,0.411,0.5,?,0.109
hurrah,?,?,?,0.727
hurricane,?,0.811,?,?
hurricanes,?,0.75,?,?
hurry,?,0.203,?,?
hurryup,?,0.281,?,?
hurt,0.561,0.688,0.688,?
hurtful,0.603,0.625,0.688,?
hurting,0.712,0.672,0.625,?
husband,?,?,?,0.438
hut,?,?,0.078,?
hydra,?,0.422,?,?
hydrocephalus,?,0.453,0.547,?
hymn,?,?,0.064,0.375
hyped,?,0.214,?,?
hypertrophy,?,0.594,?,?
hyperventilate,?,0.734,?,?
hyperventilating,?,0.762,?,?
hysteria,?,0.797,?,?
hysterical,0.453,0.703,?,?
idiocy,0.455,?,0.359,?
idiotic,0.516,?,?,?
idiots,0.561,?,?,?
idolatry,?,0.469,?,?
ifonly,?,?,0.391,?
ihatespiders,?,0.859,?,?
ill,0.333,0.621,0.594,?
illegal,0.394,0.5,0.469,?
illegality,0.455,0.469,?,?
illegitimate,0.333,0.438,0.416,?
illicit,0.455,0.453,?,?
illness,?,0.609,0.688,?
illuminate,?,?,?,0.547
illumination,?,?,?,0.53
ilovechristmas,?,?,?,0.859
iloveher,?,?,?,0.875
imagination,?,0.141,?,?
imissyou,?,?,0.547,?
immaculate,?,?,?,0.409
immaturity,0.273,?,?,?
immerse,?,0.266,?,0.258
immigrant,?,0.219,?,?
imminent,?,0.345,?,?
immoral,0.591,0.41,0.578,?
immorality,0.382,?,?,?
impatient,?,0.224,?,?
impatiently,?,0.25,?,?
impeach,?,0.354,?,?
impending,?,0.562,?,?
impermeable,0.455,0.438,?,?
implicate,0.409,?,?,?
impossible,?,?,0.5,?
impotence,0.344,0.531,0.625,?
imprisoned,0.484,0.811,0.688,?
imprisonment,0.688,0.75,0.672,?
improve,?,?,?,0.364
improvement,?,?,?,0.309
improves,?,?,?,0.364
imprudent,?,?,0.438,?
imtryingtosleep,0.234,?,?,?
inability,?,?,0.453,?
inadequate,?,?,0.484,?
inadmissible,0.191,?,?,?
inappropriate,0.324,?,0.297,?
inattention,0.121,?,?,?
inauguration,?,?,?,0.409
incarceration,0.578,0.625,0.641,?
incase,0.188,0.109,0.297,?
incendiary,0.533,0.625,?,?
incense,0.656,?,?,0.234
incest,0.485,0.571,0.75,?
incite,0.469,0.516,?,?
income,?,?,0.1,0.403
incompatible,0.281,?,0.297,?
incompetence,0.359,?,?,?
incompetent,0.257,?,0.328,?
incomplete,?,?,0.25,?
incongruous,0.435,?,?,?
inconsequential,?,?,0.152,?
inconsiderate,0.329,?,0.375,?
inconvenient,0.266,?,0.263,?
incredulous,0.426,?,?,?
incrimination,?,0.562,0.545,?
incubus,?,0.562,?,?
incurable,0.379,0.797,0.703,?
incursion,?,0.531,?,?
indecency,0.424,?,?,?
indecisive,0.172,0.25,?,?
indefensible,?,0.484,?,?
indenture,0.41,?,?,?
independence,?,?,?,0.607
independent,?,?,?,0.359
indescribable,?,?,?,0.397
indict,0.625,0.469,?,?
indictment,?,0.484,?,?
indifference,0.156,0.25,0.219,?
indigent,?,?,0.438,?
indignant,0.641,?,?,?
indignation,0.587,?,?,?
indoctrination,0.255,0.453,?,?
indomitable,?,0.438,?,?
inefficiency,?,?,0.359,?
inefficient,0.203,?,0.391,?
inept,0.409,?,?,?
ineptitude,?,0.417,0.391,?
inequality,0.406,0.234,0.641,?
inexcusable,0.641,?,0.379,?
infamous,0.338,0.422,?,?
infamy,?,?,0.464,?
infant,?,0.067,?,0.309
infanticide,0.688,0.609,?,?
infantile,0.375,?,?,?
infarct,?,0.5,?,?
infection,?,0.625,?,?
infectious,?,0.703,0.483,?
inferior,?,?,0.375,?
inferno,0.594,0.766,?,?
infertility,?,?,0.641,?
infestation,?,0.716,?,?
infidel,0.47,0.594,?,?
infidelity,0.429,0.469,0.688,?
infinity,?,?,?,0.281
infirmity,?,0.438,?,?
inflation,?,0.297,?,?
inflict,0.633,0.562,0.531,?
infliction,?,0.578,0.562,?
infraction,0.485,?,?,?
infuriate,0.844,?,?,?
infuriated,0.938,?,?,?
infuriates,0.894,?,?,?
inheritance,?,?,?,0.47
inhibit,0.371,?,0.312,?
inhospitable,?,?,0.453,?
inhuman,0.485,0.625,0.703,?
inhumanity,?,?,0.804,?
inimical,0.516,?,0.531,?
injection,?,0.609,?,?
injure,0.625,0.625,0.609,?
injured,?,0.719,0.609,?
injuring,?,0.609,?,?
injurious,0.609,0.641,0.5,?
injury,0.469,0.672,0.562,?
injustice,0.5,?,?,?
inmate,?,0.469,?,?
innerpeace,?,?,?,0.656
inoperative,0.266,?,?,?
insane,0.621,0.656,?,?
insanity,0.469,0.547,0.688,?
insect,?,0.25,?,?
insecure,0.188,0.461,0.509,?
insecurity,?,0.484,?,?
inseparable,?,?,?,0.485
insidious,0.691,0.516,?,?
insignificant,0.167,?,0.438,?
insist,0.182,?,?,?
insists,0.175,?,?,?
insolvency,?,0.391,0.438,?
insolvent,?,0.406,0.422,?
insomnia,?,0.266,?,?
insomniac,?,0.234,?,?
inspection,?,0.483,?,?
inspiration,?,?,?,0.725
inspirational,?,?,?,0.531
inspire,?,?,?,0.594
inspired,?,?,?,0.606
instability,?,0.5,?,?
instinctive,0.112,0.234,?,?
insufficiency,0.167,?,?,?
insult,0.603,?,0.484,?
insulting,0.652,0.435,0.391,?
insurmountable,?,0.609,0.625,?
insurrection,0.652,?,?,?
intelligence,?,0.038,?,0.477
intense,0.453,0.279,?,0.242
inter,?,?,0.364,?
intercede,?,0.234,0.344,?
interested,?,?,0.114,?
interment,?,?,0.578,?
interminable,0.343,?,?,?
interrogate,?,0.375,?,?
interrogation,?,0.609,?,?
interrupt,0.333,?,?,?
interrupted,?,?,0.188,?
interrupting,0.358,?,?,?
interrupts,0.265,?,?,?
intervention,?,?,0.348,?
interview,?,0.18,?,?
interviewer,?,0.172,?,?
intimacy,?,0.203,?,?
intimate,?,?,?,0.71
intimately,?,0.156,?,0.507
intimidate,?,0.641,?,?
intimidation,0.703,0.559,?,?
intolerable,0.609,?,?,?
intolerance,0.469,0.516,?,?
intolerant,0.564,0.5,0.5,?
intractable,0.5,?,?,?
intrigue,?,0.188,?,?
intruder,0.531,0.828,?,?
intrusion,?,0.484,?,?
intrusive,0.598,0.469,?,?
invade,0.562,0.766,0.453,?
invader,0.588,0.766,0.42,?
invalid,?,?,0.188,?
invasion,0.594,?,?,?
invite,?,?,?,0.457
inviting,?,?,?,0.5
involution,0.3,?,?,?
involvement,0.152,?,?,?
irate,0.844,?,?,?
ire,0.547,?,?,?
iris,?,0.16,?,?
irks,0.606,?,?,?
irrational,?,0.305,?,?
irreconcilable,0.543,0.438,0.594,?
irreparable,?,0.625,0.609,?
irritability,0.609,?,?,?
irritable,0.667,?,?,?
irritate,0.621,?,?,?
irritated,0.706,?,?,?
irritates,0.676,?,?,?
irritating,0.606,?,?,?
irritation,0.438,?,0.47,?
isolate,?,?,0.703,?
isolated,?,0.641,0.547,?
isolation,?,?,0.703,?
jab,0.574,?,?,?
jackpot,?,?,?,0.641
jail,?,0.578,0.656,?
japan,?,?,?,0.121
jarring,?,0.531,0.422,?
jaundice,?,0.359,?,?
jaws,?,0.469,?,?
jealous,0.47,?,?,?
jealousy,0.587,0.365,0.382,?
jeopardize,0.561,0.547,?,?
jeopardy,?,0.578,?,?
jerk,0.621,?,?,?
jerks,0.515,?,?,?
jest,?,?,?,0.359
jesus,?,?,?,0.594
jihad,?,0.766,?,?
jingle,?,?,?,0.516
jitters,?,0.562,?,?
jobinterview,?,0.25,?,?
joker,?,?,?,0.297
jolly,?,?,?,0.891
journey,?,0.062,?,0.447
jovial,?,?,?,0.814
joy,?,?,?,0.924
joyful,?,?,?,0.879
joyous,?,?,?,0.922
joys,?,?,?,0.818
jubilant,?,?,?,0.969
jubilee,?,?,?,0.742
jump,?,?,?,0.379
jumpy,?,0.484,?,?
jungle,?,0.219,?,?
jurisprudence,?,?,0.273,?
juststop,0.537,?,?,?
justthebeginning,0.152,?,?,?
kennel,?,?,0.13,?
kerosene,?,0.375,?,?
keyed,0.394,?,?,?
khan,?,0.375,?,?
kick,0.667,?,?,?
kicking,0.636,?,?,?
kid,?,?,?,0.515
kiddo,?,?,?,0.47
kiddos,?,?,?,0.344
kidnap,0.703,0.891,0.682,?
kidnapped,?,0.828,?,?
kill,?,0.962,0.797,?
killing,0.893,0.906,0.812,?
kind,?,?,?,0.621
kindness,?,?,?,0.606
kindred,?,?,?,0.455
kiss,?,?,?,0.61
kitten,?,?,?,0.364
knell,?,0.344,0.275,?
knot,?,0.109,?,?
knots,?,0.188,?,?
knuckles,0.439,?,?,?
kudos,?,?,?,0.515
labor,?,?,?,0.106
labored,?,?,0.25,?
lace,0.118,0.111,0.118,?
lagging,0.281,?,0.344,?
lake,?,?,?,0.103
lamb,?,?,?,0.219
lament,?,0.422,0.636,?
lamenting,?,?,0.656,?
landslide,?,0.625,0.375,?
languishing,?,0.358,0.609,?
lash,0.578,0.484,?,?
lastday,?,?,0.424,?
lastminute,?,0.219,?,?
late,?,?,0.125,?
latent,0.266,?,?,?
latte,?,?,?,0.078
laugh,?,?,?,0.891
laughing,?,?,?,0.864
laughs,?,?,?,0.75
laughter,?,?,?,0.824
launches,?,0.344,?,?
laurels,?,?,?,0.521
lava,0.234,0.588,?,?
lavender,?,?,?,0.409
lawlessness,0.563,0.531,?,?
lawsuit,0.386,0.562,0.344,?
lawyer,0.25,0.349,?,?
lax,?,?,0.266,?
laxative,?,0.312,?,?
lazyday,?,?,?,0.318
leaf,?,?,?,0.065
leave,?,?,0.328,?
leavemealone,0.517,?,?,?
leaving,?,?,0.266,?
leeches,?,0.531,?,?
leftout,?,?,0.469,?
legalized,0.145,0.156,?,0.203
leisure,?,?,?,0.515
leprosy,?,0.766,0.719,?
lesbian,?,?,0.141,?
less,?,0.167,?,?
lethal,?,0.806,0.797,?
lethargy,?,?,0.438,?
leukemia,0.365,0.688,0.797,?
libel,0.4,0.348,?,?
liberate,0.172,?,?,0.485
liberation,?,?,?,0.531
liberty,?,?,?,0.486
lie,0.348,?,0.585,?
life,?,?,?,0.438
lifeisgood,?,?,?,0.766
lifeless,?,0.781,0.797,?
lifesucks,?,?,0.7,?
lifetime,?,?,?,0.234
lifted,?,?,?,0.547
light,?,?,?,0.297
lighten,?,?,?,0.409
lightning,0.189,0.594,?,?
lights,?,?,?,0.203
liking,?,?,?,0.562
limited,0.292,?,0.167,?
lines,?,0.031,?,?
lion,?,0.484,?,?
liquor,0.075,?,0,0.188
listenting,?,?,?,0.359
listless,?,?,0.729,?
listneing,?,?,?,0.212
litigate,0.359,0.312,0.344,?
litigious,0.484,?,?,?
littlethings,?,?,?,0.391
live,?,?,?,0.406
livelife,?,?,?,0.574
livid,0.821,?,?,?
living,?,?,?,0.312
lml,?,?,?,0.422
loath,0.781,?,?,?
loathe,0.909,?,?,?
loathsome,0.857,?,?,?
locate,?,0.094,?,?
lockup,?,0.453,0.359,?
locust,?,0.375,?,?
lone,?,?,0.446,?
loneliness,?,0.344,0.766,?
lonely,0.109,0.183,0.656,?
lonesome,?,?,0.734,?
longing,?,?,0.594,?
loom,?,0.328,?,?
looming,?,0.438,?,?
lord,?,?,?,0.312
lose,0.261,0.391,0.509,?
losing,0.349,?,0.594,?
loss,0.324,0.578,0.688,?
lost,?,?,0.625,?
loudness,0.359,?,?,?
lounging,?,?,?,0.297
lovable,?,?,?,0.773
love,?,?,?,0.828
loved,?,?,?,0.859
lovee,?,?,?,0.92
loveee,?,?,?,0.932
lovelife,?,?,?,0.703
lovelovelove,?,?,?,0.906
lovely,?,?,0.009,0.719
lovemaking,?,?,?,0.812
lovemylife,?,?,?,0.797
lover,?,?,?,0.719
lovethis,?,?,?,0.891
loving,?,?,?,0.879
lovinglife,?,?,?,0.875
lovinlife,?,?,?,0.797
lower,?,?,0.203,?
lowest,?,?,0.478,?
lowly,?,?,0.448,?
loyal,?,0.094,?,0.485
lsd,?,?,?,0.286
luck,?,?,?,0.484
luckiest,?,?,?,0.712
lucky,?,?,?,0.721
luckygirl,?,?,?,0.576
lunacy,0.574,0.625,0.438,?
lunatic,0.688,0.656,?,?
luncheon,?,?,?,0.172
luscious,?,?,?,0.682
lush,?,?,0.109,0.47
luster,?,?,?,0.469
luxurious,?,?,?,0.734
luxury,?,?,?,0.712
lying,0.408,?,?,?
lynch,0.69,0.719,0.773,?
lyre,?,?,?,0.234
lyrical,?,?,?,0.439
mace,?,0.438,?,?
mad,0.688,0.547,0.5,?
madden,0.719,0.5,?,?
madder,0.773,?,?,?
mademyday,?,?,?,0.848
madman,0.82,0.625,?,?
madness,0.491,0.675,?,?
mafia,?,0.734,?,?
mage,?,0.297,?,?
magic,?,?,?,0.712
magical,?,?,?,0.742
magnificence,?,?,?,0.797
magnificent,?,?,?,0.859
majestic,?,?,?,0.682
majority,?,?,?,0.073
makesmehappy,?,?,?,0.922
makesmemad,0.688,?,?,?
makingdisciples,?,?,?,0.136
malaise,?,?,0.547,?
malaria,?,0.609,0.547,?
malevolent,0.721,0.703,0.672,?
malice,0.852,0.625,?,?
malicious,0.859,0.656,0.719,?
malign,0.562,?,?,?
malignancy,?,0.742,0.803,?
malignant,0.656,0.734,?,?
malpractice,0.5,?,?,?
management,0.102,?,?,?
mandamus,?,0.359,?,?
mange,?,0.562,?,?
mangle,0.714,0.672,0.656,?
maniac,0.67,0.781,?,?
manic,?,0.625,?,?
manicure,?,?,?,0.344
manifestation,?,0.531,?,?
manipulation,0.603,0.531,?,?
manslaughter,0.783,0.828,0.833,?
margin,?,?,0.125,?
marriage,?,?,?,0.514
marrow,?,?,?,0.078
marry,?,0.125,?,0.676
martial,0.426,?,?,?
martyr,?,0.562,0.556,?
martyrdom,?,0.562,0.594,?
marvellous,?,?,?,0.833
marvelous,?,?,?,0.824
marvelously,?,?,?,0.881
masks,?,0.562,?,?
masochism,0.556,0.594,?,?
massacre,0.882,0.911,0.931,?
massage,?,?,?,0.47
masterpiece,?,?,?,0.561
mastery,0.25,?,?,0.53
matrimony,?,?,?,0.531
mausoleum,?,?,0.63,?
mayhem,?,0.69,?,?
meaningful,?,?,?,0.391
meaningless,?,?,0.409,?
measles,?,0.359,0.469,?
measured,?,?,?,0.152
medal,?,?,?,0.424
meddle,0.341,?,?,?
medical,?,0.297,?,?
medication,?,0.156,?,?
meditate,?,?,?,0.438
meditating,?,?,?,0.297
meditation,?,?,?,0.446
meek,?,?,0.125,?
meh,?,?,0.188,?
melancholic,?,?,0.591,?
melancholy,?,?,0.621,?
melee,?,0.734,?,?
mellow,?,?,?,0.318
melodrama,0.212,?,0.242,?
melody,?,?,?,0.348
meltdown,?,0.625,0.703,?
memorable,?,?,?,0.5
memorial,?,?,0.547,?
memorials,?,?,0.453,?
memories,?,?,0.172,?
memoriesiwontforget,?,?,?,0.682
menace,0.545,0.672,?,?
menacing,0.735,0.672,?,?
mental,?,0.391,?,?
mentalhealth,?,0.375,?,?
mercenary,?,0.625,?,?
merciless,?,0.609,?,?
meritorious,?,?,?,0.5
merriment,?,?,?,0.912
merry,?,?,?,0.727
merrychristmas,?,?,?,0.712
messedup,?,?,0.5,?
metime,?,?,?,0.688
midwife,?,?,?,0.288
mighty,0.172,0.203,?,0.438
migraine,?,?,0.297,?
militants,?,0.672,?,?
military,?,0.375,?,?
militia,0.375,0.672,0.344,?
mindfulness,?,?,?,0.455
mine,?,?,?,0.297
ministry,?,?,?,0.266
miracle,?,?,?,0.742
miracles,?,?,?,0.758
miraculous,?,?,?,0.773
mirth,?,?,?,0.375
misbehavior,0.351,?,?,?
miscarriage,?,0.719,0.824,?
misconception,0.219,0.375,?,?
miserable,0.594,?,0.844,?
miserably,?,?,0.734,?
misery,0.547,0.734,0.938,?
misfortune,?,0.562,0.516,?
mishap,?,0.328,0.338,?
mislead,0.455,0.297,0.297,?
misleading,0.344,?,?,?
misplace,0.172,?,?,?
misrepresentation,?,?,0.259,?
misrepresented,0.422,?,?,?
miss,?,?,0.379,?
missile,?,0.734,?,?
missiles,?,0.934,?,?
missing,?,0.474,0.719,?
missingyou,?,?,0.672,?
misspell,0.136,?,?,?
misstatement,0.197,?,?,?
mistake,?,?,0.312,?
mistaken,?,0.281,?,?
mistletoe,?,?,?,0.547
mistress,0.182,?,?,?
mistrust,?,0.5,?,?
misty,?,?,0.234,?
misunderstanding,0.195,?,0.359,?
misuse,0.297,?,?,?
mixedemotions,?,?,0.266,?
moan,?,0.394,0.484,?
mob,0.538,0.577,?,?
mocking,0.484,?,0.363,?
molestation,0.742,0.859,0.744,?
money,0.074,?,?,0.531
monsoon,?,?,0.391,?
monster,?,0.844,?,?
monstrosity,0.574,0.797,?,?
moody,0.412,?,0.469,?
moonlight,?,?,?,0.364
moral,0.094,?,?,?
morals,0.141,?,?,0.297
morbid,?,?,0.828,?
morbidity,0.594,0.82,0.864,?
morgue,?,0.844,0.734,?
moribund,?,?,0.758,?
morning,?,?,?,0.25
mortality,0.312,0.797,0.5,?
mortgage,?,0.331,?,?
mortgagor,?,0.258,?,?
mortification,?,0.719,0.802,?
mortuary,?,0.75,0.797,?
mosque,0.122,?,?,?
mosquito,0.219,?,?,?
mother,?,?,0.016,0.412
motherhood,?,?,?,0.5
motivating,?,?,0.078,?
mountain,?,?,?,0.25
mountains,?,?,?,0.194
mourn,?,?,0.828,?
mournful,0.188,0.359,0.812,?
mourning,?,?,0.969,?
movies,?,?,?,0.393
moving,?,?,0.295,?
movingforward,?,?,?,0.429
movingon,?,?,?,0.182
mri,?,0.344,?,?
muchneeded,?,?,?,0.312
mucis,?,?,?,0.212
mucked,0.438,?,?,?
muff,0.318,?,?,?
mug,0.467,0.359,0.141,?
mule,0.167,?,?,?
mum,?,0.07,?,?
munchies,?,?,?,0.4
murder,0.897,0.906,0.828,?
murderer,0.922,0.953,0.877,?
murderous,0.853,0.92,0.844,?
murky,?,?,0.375,?
music,?,?,0.016,0.531
musical,0.011,?,0.045,0.422
musket,?,0.391,?,?
mutilation,0.714,0.906,0.828,?
mutiny,0.727,0.734,?,?
mutter,0.182,?,?,?
muzzle,?,0.312,?,?
myfavorite,?,?,?,0.804
myopia,0.283,?,0.339,?
mysterious,?,0.435,?,?
nag,0.394,?,?,?
namaste,?,?,?,0.453
nap,?,?,?,0.206
napkin,?,?,0.031,?
nasty,0.672,0.466,0.484,?
nature,?,?,?,0.5
nausea,?,0.406,?,?
nauseous,?,0.375,0.5,?
necessity,?,?,0.236,?
needalife,?,?,0.398,?
needit,?,0.156,?,?
needles,?,0.547,?,?
needtoknow,?,0.173,?,?
needtorelax,?,0.125,?,?
nefarious,?,0.656,0.546,?
negation,0.344,?,?,?
negative,?,?,0.5,?
neglected,0.324,?,0.688,?
negro,?,?,0.281,?
nepotism,0.371,?,0.328,?
nerves,?,0.6,?,?
nervous,?,0.469,?,?
nervousness,?,0.627,?,?
nervouswreck,?,0.672,?,?
nervy,?,0.391,?,?
nether,0.278,0.312,0.328,?
nettle,0.422,?,?,?
neuralgia,?,0.547,0.422,?
neurosis,?,0.656,0.531,?
neurotic,?,0.703,?,?
neutral,?,?,?,0.114
newbeginnings,?,?,?,0.693
newcomer,?,0.141,?,?
newday,?,?,?,0.438
newjob,?,0.266,?,?
newlife,?,?,?,0.618
newme,?,?,?,0.515
newstart,?,?,?,0.344
newyear,?,?,?,0.561
nightmare,?,0.828,?,?
nightmares,?,0.759,?,?
nobodycares,0.5,?,?,?
nocomplaints,?,?,?,0.485
nohope,?,?,0.688,?
noisy,0.25,?,?,?
noncompliance,0.279,0.276,0.375,?
nonsense,0.25,?,?,?
nonsensical,?,?,0.312,?
